,reaction_id,flux
Gb1bin16__3PEPTabcpp,Gb1bin16__3PEPTabcpp,0.0
Gb1bin16__3PGt6,Gb1bin16__3PGt6,0.0
Gb1bin16__3SALATAi_Gb1bin16_C_c,Gb1bin16__3SALATAi_Gb1bin16_C_c,0.0
Gb1bin16__4HPRO_LT_Et,Gb1bin16__4HPRO_LT_Et,0.0
Gb1bin16__4PEPTabcpp,Gb1bin16__4PEPTabcpp,0.0
Gb1bin16__4PEPTtex,Gb1bin16__4PEPTtex,0.0
Gb1bin16_ACALD_Gb1bin16_C_c,Gb1bin16_ACALD_Gb1bin16_C_c,0.0
Gb1bin16_ACALDt,Gb1bin16_ACALDt,0.0
Gb1bin16_ACCOAC_Gb1bin16_C_c,Gb1bin16_ACCOAC_Gb1bin16_C_c,0.0
Gb1bin16_ACHBS_Gb1bin16_C_c,Gb1bin16_ACHBS_Gb1bin16_C_c,0.0
Gb1bin16_ACLS_Gb1bin16_C_c,Gb1bin16_ACLS_Gb1bin16_C_c,0.0
Gb1bin16_ACONT_Gb1bin16_C_c,Gb1bin16_ACONT_Gb1bin16_C_c,0.0
Gb1bin16_ACONTa_Gb1bin16_C_c,Gb1bin16_ACONTa_Gb1bin16_C_c,0.0
Gb1bin16_ACONTb_Gb1bin16_C_c,Gb1bin16_ACONTb_Gb1bin16_C_c,0.0
Gb1bin16_ACt2r_1,Gb1bin16_ACt2r_1,0.0
Gb1bin16_ADK1_Gb1bin16_C_c,Gb1bin16_ADK1_Gb1bin16_C_c,0.0
Gb1bin16_ADK4_Gb1bin16_C_c,Gb1bin16_ADK4_Gb1bin16_C_c,0.0
Gb1bin16_ADNK1_Gb1bin16_C_c,Gb1bin16_ADNK1_Gb1bin16_C_c,0.0
Gb1bin16_ADNt2,Gb1bin16_ADNt2,0.0
Gb1bin16_AGM3PApp_Gb1bin16_C_p,Gb1bin16_AGM3PApp_Gb1bin16_C_p,0.0
Gb1bin16_AGM4PApp_Gb1bin16_C_p,Gb1bin16_AGM4PApp_Gb1bin16_C_p,0.0
Gb1bin16_AGMDA_Gb1bin16_C_c,Gb1bin16_AGMDA_Gb1bin16_C_c,0.0
Gb1bin16_AGMT_Gb1bin16_C_c,Gb1bin16_AGMT_Gb1bin16_C_c,0.0
Gb1bin16_AHCi_Gb1bin16_C_c,Gb1bin16_AHCi_Gb1bin16_C_c,0.0
Gb1bin16_AICART_Gb1bin16_C_c,Gb1bin16_AICART_Gb1bin16_C_c,0.0
Gb1bin16_AKGDH_Gb1bin16_C_c,Gb1bin16_AKGDH_Gb1bin16_C_c,0.0
Gb1bin16_ALAALAr_Gb1bin16_C_c,Gb1bin16_ALAALAr_Gb1bin16_C_c,0.0
Gb1bin16_ALAALAtex,Gb1bin16_ALAALAtex,0.0
Gb1bin16_ALAGLUE_Gb1bin16_C_c,Gb1bin16_ALAGLUE_Gb1bin16_C_c,0.0
Gb1bin16_ALAR_Gb1bin16_C_c,Gb1bin16_ALAR_Gb1bin16_C_c,0.0
Gb1bin16_ALAS_Gb1bin16_C_c,Gb1bin16_ALAS_Gb1bin16_C_c,0.0
Gb1bin16_ALMPC_Gb1bin16_C_c,Gb1bin16_ALMPC_Gb1bin16_C_c,0.0
Gb1bin16_AMMQT8_Gb1bin16_C_c,Gb1bin16_AMMQT8_Gb1bin16_C_c,0.0
Gb1bin16_AMPTASECG_Gb1bin16_C_c,Gb1bin16_AMPTASECG_Gb1bin16_C_c,0.0
Gb1bin16_ANHGMtex,Gb1bin16_ANHGMtex,0.0
Gb1bin16_ANTDR_Gb1bin16_C_c,Gb1bin16_ANTDR_Gb1bin16_C_c,0.0
Gb1bin16_APRAUR_Gb1bin16_C_c,Gb1bin16_APRAUR_Gb1bin16_C_c,0.0
Gb1bin16_ARGDC_Gb1bin16_C_c,Gb1bin16_ARGDC_Gb1bin16_C_c,0.0
Gb1bin16_ARGN_Gb1bin16_C_c,Gb1bin16_ARGN_Gb1bin16_C_c,0.0
Gb1bin16_ARGN_1_Gb1bin16_C_c,Gb1bin16_ARGN_1_Gb1bin16_C_c,0.0
Gb1bin16_ARGSL_Gb1bin16_C_c,Gb1bin16_ARGSL_Gb1bin16_C_c,0.0
Gb1bin16_ARGSS_Gb1bin16_C_c,Gb1bin16_ARGSS_Gb1bin16_C_c,0.0
Gb1bin16_ARGt5r,Gb1bin16_ARGt5r,0.0
Gb1bin16_ASNt4,Gb1bin16_ASNt4,0.0
Gb1bin16_ASPA2_Gb1bin16_C_c,Gb1bin16_ASPA2_Gb1bin16_C_c,0.0
Gb1bin16_ASPTA_Gb1bin16_C_c,Gb1bin16_ASPTA_Gb1bin16_C_c,0.0
Gb1bin16_ASPTA6_Gb1bin16_C_c,Gb1bin16_ASPTA6_Gb1bin16_C_c,0.0
Gb1bin16_ATPHs_Gb1bin16_C_c,Gb1bin16_ATPHs_Gb1bin16_C_c,0.0
Gb1bin16_ATPPRT_Gb1bin16_C_c,Gb1bin16_ATPPRT_Gb1bin16_C_c,0.0
Gb1bin16_BSCT_Gb1bin16_C_c,Gb1bin16_BSCT_Gb1bin16_C_c,0.0
Gb1bin16_BZt,Gb1bin16_BZt,0.0
Gb1bin16_CA2abc,Gb1bin16_CA2abc,0.0
Gb1bin16_CAT_Gb1bin16_C_c,Gb1bin16_CAT_Gb1bin16_C_c,0.0
Gb1bin16_CBPAH_Gb1bin16_C_c,Gb1bin16_CBPAH_Gb1bin16_C_c,0.0
Gb1bin16_CBPS_Gb1bin16_C_c,Gb1bin16_CBPS_Gb1bin16_C_c,0.0
Gb1bin16_CDDTPP_Gb1bin16_C_c,Gb1bin16_CDDTPP_Gb1bin16_C_c,0.0
Gb1bin16_CGLYtex,Gb1bin16_CGLYtex,0.0
Gb1bin16_CHORM_Gb1bin16_C_c,Gb1bin16_CHORM_Gb1bin16_C_c,0.0
Gb1bin16_CHORS_Gb1bin16_C_c,Gb1bin16_CHORS_Gb1bin16_C_c,0.0
Gb1bin16_CHORt2,Gb1bin16_CHORt2,0.0
Gb1bin16_CO2t,Gb1bin16_CO2t,0.0
Gb1bin16_CO2tex,Gb1bin16_CO2tex,0.0
Gb1bin16_CO2tpp,Gb1bin16_CO2tpp,0.0
Gb1bin16_COAt,Gb1bin16_COAt,0.0
Gb1bin16_COBALTt5,Gb1bin16_COBALTt5,0.0
Gb1bin16_CS_Gb1bin16_C_c,Gb1bin16_CS_Gb1bin16_C_c,0.0
Gb1bin16_CTPS1_Gb1bin16_C_c,Gb1bin16_CTPS1_Gb1bin16_C_c,0.0
Gb1bin16_CTPS2_Gb1bin16_C_c,Gb1bin16_CTPS2_Gb1bin16_C_c,0.0
Gb1bin16_CYANST_Gb1bin16_C_c,Gb1bin16_CYANST_Gb1bin16_C_c,0.0
Gb1bin16_CYANt2pp,Gb1bin16_CYANt2pp,0.0
Gb1bin16_CYANtex,Gb1bin16_CYANtex,0.0
Gb1bin16_CYOO2pp,Gb1bin16_CYOO2pp,0.0
Gb1bin16_CYSTA_Gb1bin16_C_c,Gb1bin16_CYSTA_Gb1bin16_C_c,0.0
Gb1bin16_CYTBD,Gb1bin16_CYTBD,0.0
Gb1bin16_CYTMQOR3pp,Gb1bin16_CYTMQOR3pp,0.0
Gb1bin16_Clt,Gb1bin16_Clt,0.0
Gb1bin16_Cuabc,Gb1bin16_Cuabc,0.0
Gb1bin16_DALAt2pp,Gb1bin16_DALAt2pp,0.0
Gb1bin16_DB4PS_Gb1bin16_C_c,Gb1bin16_DB4PS_Gb1bin16_C_c,0.0
Gb1bin16_DDPGA_Gb1bin16_C_c,Gb1bin16_DDPGA_Gb1bin16_C_c,0.0
Gb1bin16_DHAD1_Gb1bin16_C_c,Gb1bin16_DHAD1_Gb1bin16_C_c,0.0
Gb1bin16_DHAD2_Gb1bin16_C_c,Gb1bin16_DHAD2_Gb1bin16_C_c,0.0
Gb1bin16_DHAPtr,Gb1bin16_DHAPtr,0.0
Gb1bin16_DHNAOT_1_Gb1bin16_C_c,Gb1bin16_DHNAOT_1_Gb1bin16_C_c,0.0
Gb1bin16_DHPPDA2_Gb1bin16_C_c,Gb1bin16_DHPPDA2_Gb1bin16_C_c,0.0
Gb1bin16_DHQTi_Gb1bin16_C_c,Gb1bin16_DHQTi_Gb1bin16_C_c,0.0
Gb1bin16_DMATT_Gb1bin16_C_c,Gb1bin16_DMATT_Gb1bin16_C_c,0.0
Gb1bin16_DPMVD_Gb1bin16_C_c,Gb1bin16_DPMVD_Gb1bin16_C_c,0.0
Gb1bin16_DTMPK_Gb1bin16_C_c,Gb1bin16_DTMPK_Gb1bin16_C_c,0.0
Gb1bin16_DTMPt6,Gb1bin16_DTMPt6,0.0
Gb1bin16_DUTCP_Gb1bin16_C_c,Gb1bin16_DUTCP_Gb1bin16_C_c,0.0
Gb1bin16_ECOAH1_1_Gb1bin16_C_c,Gb1bin16_ECOAH1_1_Gb1bin16_C_c,0.0
Gb1bin16_EHGLAT_Gb1bin16_C_c,Gb1bin16_EHGLAT_Gb1bin16_C_c,0.0
