,reaction_id,min_flux,max_flux
Gb1bin16_TF_3pg_e_Gb1bin16_C_e,Gb1bin16_TF_3pg_e_Gb1bin16_C_e,-1000.0,0.0
Gb1bin16_TF_4abut_e_Gb1bin16_C_e,Gb1bin16_TF_4abut_e_Gb1bin16_C_e,0.0,1000.0
Gb1bin16_TF_4abutn_e_Gb1bin16_C_e,Gb1bin16_TF_4abutn_e_Gb1bin16_C_e,0.0,455.9712238432836
Gb1bin16_TF_4hpro_LT_e_Gb1bin16_C_e,Gb1bin16_TF_4hpro_LT_e_Gb1bin16_C_e,-346.61921453191485,0.0
Gb1bin16_TF_LalaDgluMdapDala_e_Gb1bin16_C_e,Gb1bin16_TF_LalaDgluMdapDala_e_Gb1bin16_C_e,-0.1,0.0
Gb1bin16_TF_ac_e_Gb1bin16_C_e,Gb1bin16_TF_ac_e_Gb1bin16_C_e,0.0,1000.0
Gb1bin16_TF_acald_e_Gb1bin16_C_e,Gb1bin16_TF_acald_e_Gb1bin16_C_e,-1000.0,986.9560491054575
Gb1bin16_TF_adn_e_Gb1bin16_C_e,Gb1bin16_TF_adn_e_Gb1bin16_C_e,-0.4460012499987949,0.0
Gb1bin16_TF_alaala_e_Gb1bin16_C_e,Gb1bin16_TF_alaala_e_Gb1bin16_C_e,0.0,0.10231449999999999
Gb1bin16_TF_anhgm_e_Gb1bin16_C_e,Gb1bin16_TF_anhgm_e_Gb1bin16_C_e,0.0,0.20462900000000003
Gb1bin16_TF_arg__L_e_Gb1bin16_C_e,Gb1bin16_TF_arg__L_e_Gb1bin16_C_e,-500.93898,198.18047318750004
Gb1bin16_TF_asn__L_e_Gb1bin16_C_e,Gb1bin16_TF_asn__L_e_Gb1bin16_C_e,-0.241055,0.0
Gb1bin16_TF_bz_e_Gb1bin16_C_e,Gb1bin16_TF_bz_e_Gb1bin16_C_e,-0.0001,0.0
Gb1bin16_TF_ca2_e_Gb1bin16_C_e,Gb1bin16_TF_ca2_e_Gb1bin16_C_e,-0.005205,0.0
Gb1bin16_TF_cgly_e_Gb1bin16_C_e,Gb1bin16_TF_cgly_e_Gb1bin16_C_e,0.0,490.25941933333337
Gb1bin16_TF_chor_e_Gb1bin16_C_e,Gb1bin16_TF_chor_e_Gb1bin16_C_e,-0.32316100000000003,0.0
Gb1bin16_TF_cl_e_Gb1bin16_C_e,Gb1bin16_TF_cl_e_Gb1bin16_C_e,-0.005205,0.0
Gb1bin16_TF_co2_e_Gb1bin16_C_e,Gb1bin16_TF_co2_e_Gb1bin16_C_e,-214.84655020000002,1000.0
Gb1bin16_TF_coa_e_Gb1bin16_C_e,Gb1bin16_TF_coa_e_Gb1bin16_C_e,-0.0005759999999985667,0.0
Gb1bin16_TF_cobalt2_e_Gb1bin16_C_e,Gb1bin16_TF_cobalt2_e_Gb1bin16_C_e,-0.0001,0.0
Gb1bin16_TF_cu2_e_Gb1bin16_C_e,Gb1bin16_TF_cu2_e_Gb1bin16_C_e,-0.000709,0.0
Gb1bin16_TF_cyan_e_Gb1bin16_C_e,Gb1bin16_TF_cyan_e_Gb1bin16_C_e,-432.8720111158193,0.0
Gb1bin16_TF_dhap_e_Gb1bin16_C_e,Gb1bin16_TF_dhap_e_Gb1bin16_C_e,-0.00050175,1000.0
Gb1bin16_TF_dtmp_e_Gb1bin16_C_e,Gb1bin16_TF_dtmp_e_Gb1bin16_C_e,-0.026165999999989253,0.0
Gb1bin16_TF_fe2_e_Gb1bin16_C_e,Gb1bin16_TF_fe2_e_Gb1bin16_C_e,-43.33181433427751,0.0
Gb1bin16_TF_fe3_e_Gb1bin16_C_e,Gb1bin16_TF_fe3_e_Gb1bin16_C_e,-1000.0,1000.0
Gb1bin16_TF_fe3pyovd_kt_e_Gb1bin16_C_e,Gb1bin16_TF_fe3pyovd_kt_e_Gb1bin16_C_e,-1000.0,1000.0
Gb1bin16_TF_fol_e_Gb1bin16_C_e,Gb1bin16_TF_fol_e_Gb1bin16_C_e,-0.000669,0.0
Gb1bin16_TF_for_e_Gb1bin16_C_e,Gb1bin16_TF_for_e_Gb1bin16_C_e,-0.0003345,0.0
Gb1bin16_TF_fum_e_Gb1bin16_C_e,Gb1bin16_TF_fum_e_Gb1bin16_C_e,0.0,977.7295553125001
Gb1bin16_TF_gam6p_e_Gb1bin16_C_e,Gb1bin16_TF_gam6p_e_Gb1bin16_C_e,-0.304629,0.0
Gb1bin16_TF_glu__D_e_Gb1bin16_C_e,Gb1bin16_TF_glu__D_e_Gb1bin16_C_e,-0.10231449999997726,0.0
Gb1bin16_TF_glu__L_e_Gb1bin16_C_e,Gb1bin16_TF_glu__L_e_Gb1bin16_C_e,-1000.0,0.0
Gb1bin16_TF_glutar_e_Gb1bin16_C_e,Gb1bin16_TF_glutar_e_Gb1bin16_C_e,-0.0008,0.0
Gb1bin16_TF_glyclt_e_Gb1bin16_C_e,Gb1bin16_TF_glyclt_e_Gb1bin16_C_e,-977.7295053125,1000.0
Gb1bin16_TF_gthox_e_Gb1bin16_C_e,Gb1bin16_TF_gthox_e_Gb1bin16_C_e,-245.4358671666667,0.0
Gb1bin16_TF_gua_e_Gb1bin16_C_e,Gb1bin16_TF_gua_e_Gb1bin16_C_e,0.0,0.0
Gb1bin16_TF_h2o_e_Gb1bin16_C_e,Gb1bin16_TF_h2o_e_Gb1bin16_C_e,-994.9212845555555,1000.0
Gb1bin16_TF_h2s_e_Gb1bin16_C_e,Gb1bin16_TF_h2s_e_Gb1bin16_C_e,-245.44020516666666,0.0
Gb1bin16_TF_h_e_Gb1bin16_C_e,Gb1bin16_TF_h_e_Gb1bin16_C_e,-1000.0,1000.0
Gb1bin16_TF_his__L_e_Gb1bin16_C_e,Gb1bin16_TF_his__L_e_Gb1bin16_C_e,-0.094738,0.0
Gb1bin16_TF_ile__L_e_Gb1bin16_C_e,Gb1bin16_TF_ile__L_e_Gb1bin16_C_e,-0.290529,0.0
Gb1bin16_TF_k_e_Gb1bin16_C_e,Gb1bin16_TF_k_e_Gb1bin16_C_e,-0.195193,0.0
Gb1bin16_TF_leu__L_e_Gb1bin16_C_e,Gb1bin16_TF_leu__L_e_Gb1bin16_C_e,-0.450531,0.0
Gb1bin16_TF_lys__L_e_Gb1bin16_C_e,Gb1bin16_TF_lys__L_e_Gb1bin16_C_e,-0.343161,0.0
Gb1bin16_TF_man6p_e_Gb1bin16_C_e,Gb1bin16_TF_man6p_e_Gb1bin16_C_e,-500.000808375,0.0
Gb1bin16_TF_met__L_e_Gb1bin16_C_e,Gb1bin16_TF_met__L_e_Gb1bin16_C_e,-0.153909,0.0
Gb1bin16_TF_mevR_e_Gb1bin16_C_e,Gb1bin16_TF_mevR_e_Gb1bin16_C_e,-0.0008000000000000001,0.0
Gb1bin16_TF_mg2_e_Gb1bin16_C_e,Gb1bin16_TF_mg2_e_Gb1bin16_C_e,-0.008675,0.0
Gb1bin16_TF_mn2_e_Gb1bin16_C_e,Gb1bin16_TF_mn2_e_Gb1bin16_C_e,-0.000691,0.0
Gb1bin16_TF_nh4_e_Gb1bin16_C_e,Gb1bin16_TF_nh4_e_Gb1bin16_C_e,-382.74852565000003,1000.0
Gb1bin16_TF_nmn_e_Gb1bin16_C_e,Gb1bin16_TF_nmn_e_Gb1bin16_C_e,-0.0022780000000153233,0.0
Gb1bin16_TF_o2_e_Gb1bin16_C_e,Gb1bin16_TF_o2_e_Gb1bin16_C_e,-1000.0,0.0
Gb1bin16_TF_orn_e_Gb1bin16_C_e,Gb1bin16_TF_orn_e_Gb1bin16_C_e,-198.5463712291667,500.64318799999995
Gb1bin16_TF_ppap_e_Gb1bin16_C_e,Gb1bin16_TF_ppap_e_Gb1bin16_C_e,0.0,973.7313511666664
Gb1bin16_TF_pydam_e_Gb1bin16_C_e,Gb1bin16_TF_pydam_e_Gb1bin16_C_e,-0.0003716666666666667,0.0
Gb1bin16_TF_pyovd_kt_e_Gb1bin16_C_e,Gb1bin16_TF_pyovd_kt_e_Gb1bin16_C_e,-1000.0,1000.0
Gb1bin16_TF_quin_e_Gb1bin16_C_e,Gb1bin16_TF_quin_e_Gb1bin16_C_e,-0.32316100000000003,0.0
Gb1bin16_TF_ribflv_e_Gb1bin16_C_e,Gb1bin16_TF_ribflv_e_Gb1bin16_C_e,-0.000446,0.0
Gb1bin16_TF_ser__L_e_Gb1bin16_C_e,Gb1bin16_TF_ser__L_e_Gb1bin16_C_e,-86.85069766855526,0.0
Gb1bin16_TF_tcynt_e_Gb1bin16_C_e,Gb1bin16_TF_tcynt_e_Gb1bin16_C_e,0.0,432.8720111158192
Gb1bin16_TF_thm_e_Gb1bin16_C_e,Gb1bin16_TF_thm_e_Gb1bin16_C_e,-0.000223,0.0
Gb1bin16_TF_thr__L_e_Gb1bin16_C_e,Gb1bin16_TF_thr__L_e_Gb1bin16_C_e,-0.544216,0.0
Gb1bin16_TF_thym_e_Gb1bin16_C_e,Gb1bin16_TF_thym_e_Gb1bin16_C_e,0.0,0.0
Gb1bin16_TF_tre_e_Gb1bin16_C_e,Gb1bin16_TF_tre_e_Gb1bin16_C_e,-250.0004041875,0.0
Gb1bin16_TF_trp__L_e_Gb1bin16_C_e,Gb1bin16_TF_trp__L_e_Gb1bin16_C_e,-0.056843,0.0
Gb1bin16_TF_uaccg_e_Gb1bin16_C_e,Gb1bin16_TF_uaccg_e_Gb1bin16_C_e,-0.30462899999997717,0.0
Gb1bin16_TF_udcpp_e_Gb1bin16_C_e,Gb1bin16_TF_udcpp_e_Gb1bin16_C_e,-0.1,0.0
Gb1bin16_TF_ump_e_Gb1bin16_C_e,Gb1bin16_TF_ump_e_Gb1bin16_C_e,-0.20462900000000003,0.0
Gb1bin16_TF_ura_e_Gb1bin16_C_e,Gb1bin16_TF_ura_e_Gb1bin16_C_e,0.0,0.0
Gb1bin16_TF_val__L_e_Gb1bin16_C_e,Gb1bin16_TF_val__L_e_Gb1bin16_C_e,-0.423162,0.0
Gb1bin16_TF_zn2_e_Gb1bin16_C_e,Gb1bin16_TF_zn2_e_Gb1bin16_C_e,-0.000341,0.0
Gb1bin16_TF_na1_e_Gb1bin16_C_e,Gb1bin16_TF_na1_e_Gb1bin16_C_e,0.0,0.0
EX__3pg_e_medium,EX__3pg_e_medium,-1000.0,0.0
EX__4abut_e_medium,EX__4abut_e_medium,-1000.0,1000.0
EX__4abutn_e_medium,EX__4abutn_e_medium,-1000.0,1000.0
EX__4hpro_LT_e_medium,EX__4hpro_LT_e_medium,-1000.0,0.0
EX_LalaDgluMdapDala_e_medium,EX_LalaDgluMdapDala_e_medium,-970.7532865833333,114.20038665686275
EX_ac_e_medium,EX_ac_e_medium,-960.2912336666665,1000.0
EX_acald_e_medium,EX_acald_e_medium,-1000.0,1000.0
EX_adn_e_medium,EX_adn_e_medium,-947.0482536984123,934.4102694885643
EX_alaala_e_medium,EX_alaala_e_medium,-824.9333082916664,215.62714238888893
EX_anhgm_e_medium,EX_anhgm_e_medium,-387.75876453435075,228.8259171319153
EX_arg__L_e_medium,EX_arg__L_e_medium,-796.6205095015433,999.704208
EX_asn__L_e_medium,EX_asn__L_e_medium,-662.0115479565218,0.0
EX_bz_e_medium,EX_bz_e_medium,-1000.0,999.9999
EX_ca2_e_medium,EX_ca2_e_medium,-0.005205,-0.005205
EX_cgly_e_medium,EX_cgly_e_medium,-1000.0,1000.0
EX_chor_e_medium,EX_chor_e_medium,-1000.0,0.0
EX_cl_e_medium,EX_cl_e_medium,-0.005205,-0.005205
EX_co2_e_medium,EX_co2_e_medium,-1000.0,1000.0
EX_coa_e_medium,EX_coa_e_medium,-0.0005760000001373555,405.6640705172415
EX_cobalt2_e_medium,EX_cobalt2_e_medium,-0.0001,-0.0001
EX_cu2_e_medium,EX_cu2_e_medium,-0.000709,999.999291
