,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
3PEPTabcpp,2.116761998,,28.56833003,0.980167132,93.32363628,18.04482207,8.333333333,13.65527239,,20.19712994,4.486465042,2.34305604,3.369515273,1.664194021
3PGt6,1000,,,,,,,,,,301.3004334,,,
3SALATAi,0,,,,0,0,,,,,0,,0,
4HPRO_LT_Et,265.9646893,,,,100,673.9997173,,,,,159.1224514,,268.8280586,148.7964459
4PEPTabcpp,4.185639819,,,0.981851294,72.64899043,,1.510886352,7.486965074,3.209126362,12.93532338,23.40425532,,,1.664194021
4PEPTtex,2.12739675,,,0.981851294,109.3410324,,1.510886352,,3.209126362,,,140,,1.664194021
ACALD,1000,,,,,,,981.5393954,,,1000,,1000,
ACALDt,1000,1000,524.6224227,1000,357.8575607,1000,197.2804046,-18.46060457,5.89E-15,1000,1000,503.3635736,1000,51.79835177
ACCOAC,125,194.2857143,189.3713496,57.14285714,200,150,100,129.7619048,180.7692308,104,240.625,112,200,100
ACHBS,6.180704505,8.862731807,979.1943923,24.26248579,219.7145687,153.2773482,44.7384837,378.5018787,9.323442729,96.2962963,106.6972464,92.09489866,78.95587244,4.834966247
ACLS,0.017018942,151.9202204,262.4238418,400,370.2150257,524.5843216,70.75449963,461.7663959,28.03791239,346.1553798,161.8814376,251.711478,607.3483038,75.41359056
ACONT,1000,1000,-403.4374246,355.0225725,1000,1000,1000,1000,175.2513438,1000,1000,496.0207319,1000,0
ACONTa,1000,1000,,,1000,1000,1000,1000,,1000,1000,,1000,
ACONTb,1000,1000,,,1000,1000,1000,1000,,1000,1000,,1000,
ACt2r_1,-875,-728,,,-800,,,,,,,,-800,
ADK1,1000,983.5404154,,,,,,1000,164.205816,21.65207387,,,,
ADK4,755.5409649,1000,,80.13498522,,107.9838882,,1000,,,,144.3967447,,
ADNK1,21.48512699,0.003049933,94.44444444,3.42133673,,,100,129.7619048,180.7692308,,,144.291265,,
ADNt2,9.487898768,,,,,45.20716433,,,,,,,,
AGM3PApp,2.116761998,,24.19603197,,13.33333333,15.78947368,8.333333333,11.69167522,,14.77272727,,,,
AGM4PApp,2.116761998,,,,12.5,15.78947368,,7.486965074,,12.93532338,23.40425532,,,
AGMDA,250,,37.32963211,,,100,,,,,,,201.148159,
AGMT,250,44.73684211,,40,,100,,92.94002797,126.3907072,,,,,
AHCi,12.94893476,0.003049933,121.4375409,3.42133673,,26.37310121,,-0.004378822,,0.460026222,35.83742191,-0.009405027,47.1718068,17.12507057
AICART,0.00592992,13.00973563,35.07632981,8.399861043,14.82737025,19.01764783,14.25828474,23.20803547,,12.90157094,29.61324108,14.58728109,18.82262791,
AKGDH,168.313176,,78.03442814,323.6748922,156.6440021,300,991.162661,545.9363531,,,283.2925159,606.7653139,,
ALAALAr,6.302401818,,,,,,9.69313105,,1.604563181,16.32604532,27.44207386,,25.25478597,1.664194021
ALAALAtex,-2.72E-16,3.050549793,98.8167425,0.981851294,74.92424166,152.2553484,,13.19404478,1.604563181,,,2.34305604,201.148159,74.39822293
ALAGLUE,2.116761998,,27.57710324,,93.32363628,,,14.18442148,,16.91235367,28.21364271,,,
ALAR,6.302401818,,27.57710324,451.5728303,152.0197037,1000,,2.181774629,,1000,1000,,1000,
ALAS,83.33333333,-7.46368256,76.40449438,,424.0209142,,8.73E-16,,,342.4471824,143.3335364,,188.675097,
ALMPC,6.473510052,,,,,,,,,,17.91669205,,,
AMMQT8,0.002127397,,,,,,,0.002181775,,,,,,0.001664194
AMPTASECG,97.12599637,2.7936935,97.32866486,44.44444444,105.4335008,134.7999435,54.34472232,240.4459535,46.42239394,106.3458414,88.98577233,250.2507729,105.6061262,10.04029514
ANHGMtex,0,,0,,0,68.49031381,,0,,,0,,,
ANTDR,0.556654634,,,,,,,,,,,,,
APRAUR,0.003557952,,33.85628777,6.140332576,,41.45457792,0.006738553,,,0.007697272,25.77187375,19.60649709,25.1570451,
ARGDC,250,44.73684211,37.32963211,40,,,,,126.3907072,,,,201.148159,
ARGN,500,,,,,,,,,,,,,
ARGN_1,4.702716887,,,,32.64187176,300,,,,,,181.0588248,,
ARGSL,20.94657094,52.85779612,50.26253997,16.49484536,41.64971457,60,4.371400249,23.87201217,134.9338123,5.103096604,46.80851064,,200,4.850916107
ARGSS,20.94657094,52.85779612,50.26253997,,41.64971457,60,4.371400249,23.87201217,134.9338123,5.103096604,46.80851064,,200,4.850916107
ARGt5r,509.8958477,,,43.69783804,,,,,,,13.27060468,,,
ASNt4,5.128196237,,,,,,,,,,,,,
ASPA2,1000,,,,1000,1000,,,,,1000,,1000,
ASPTA,233.6345835,-25.92540552,,1000,88.6419261,994.5633699,,,176.2880138,1000,98.0700136,1000,1000,36.66028177
ASPTA6,238.2499601,,1000,1000,,,,,,1000,,1000,,
ATPHs,5.151773024,,94.44444444,,,,,50.16495385,,52,,,105.2149014,
ATPPRT,0.00592992,,4.560360185,0.927328954,3.180163587,19.01764783,1.41517821,23.20803547,,1.624488757,4.21037875,2.19953712,3.174477573,
BSCT,-0.001914657,,-0.004372298,43.89487587,-0.00304533,49.99774465,-0.001359798,-0.001963597,-0.002888214,-0.001553318,-0.004037819,-0.00210875,39.68084481,-0.001497775
BZt,0.002127397,,1000,0.000981851,0.0033837,0.002505943,100.0013598,0.002181775,0.003209126,,0.004482101,0.002343056,0.003369515,0.001664194
CA2abc,0.110731001,,,,,,0.078641635,,,,,,,0.086621299
CAT,500,477.2335491,1000,,,1000,1000,96.28435542,,,,288.7298256,,
CBPAH,250,,37.32963211,,,100,,,,,,,201.148159,
CBPS,20.94657094,52.85779612,15.71615248,23.52941176,100,50,4.371400249,23.87201217,90.38461538,10.47909514,46.80851064,70,66.66666667,33.33333333
CDDTPP,1000,,,,,4.022664447,,,,999.5935588,-0.032302548,,,
CGLYtex,0,,,,,0,54.34472232,,,,,,,10.04029514
CHORM,6.874916613,,38.73128204,,,154.1783712,,3.008579943,,36.10474617,,11.63568087,33.32498094,
CHORS,6.804180807,0.003050527,,7.686410375,5.714285714,30.40198209,18.18181818,43.2436862,,51.07456225,46.80851064,,70.85521339,42.1426939
CHORt2,6.874916613,0.00305055,392.5205188,102.0112463,,154.1934595,66.02336774,402.6780978,,,320.3487804,12.55661565,,148.7964459
CO2t,500,598.3846843,283.3333333,100,200,300,121.3718115,793.1332022,823.9738409,1000,283.2925159,350,402.2963179,1000
CO2tex,500,598.3846843,283.3333333,100,200,300,121.3718115,793.1332022,823.9738409,1000,283.2925159,350,402.2963179,1000
CO2tpp,500,598.3846843,283.3333333,100,200,300,121.3718115,794.1812203,823.9738409,1000,283.2925159,350,402.2963179,1000
COAt,0.012253805,0.017571167,-0.202393677,0.005655463,0.019490113,0.01443423,0.008702705,0.01253666,0.018484568,0.009938444,0.025842039,0.013496003,0.019408408,
COBALTt5,-0.001914657,,-0.004372298,,,,-0.001359798,129.7599412,-0.002888214,,-0.004037819,-0.00210875,208.7006604,-0.001497775
CS,100.5435405,,393.6357626,359.6765228,200,150,121.3718115,102.1190713,175.2513438,364.9260608,999.986231,496.0207319,208.703693,
CTPS1,3.415003634,,7.798479392,6.271095081,200,15.23457332,21.79511543,68.03301673,,3.218110763,42.43229224,20.06182334,46.68930351,42.92265854
CTPS2,3.405699253,,7.777073739,6.059114402,100,14.14638951,18.68152751,56.13678582,,3.208183561,37.76084722,18.01121107,38.65673516,30.65904181
CYANST,89.19519957,,,57.14285714,,,,,,,,,,
CYANt2pp,143.9355516,,,57.14285714,,,,,,,,,,
