,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
3PEPTabcpp,0,,0,0,0,2.25534839,0,0,,0,0,2.108750436,0,0
3PGt6,497.2822975,,,,,,,,,,0,,,
3SALATAi,-1000,,,,-1000,-1000,,,,,-1000,,-1000,
4HPRO_LT_Et,0,,,,0,0,,,,,0,,0,0
4PEPTabcpp,1.914657075,,,0,0,,0,0,2.888213726,0,0,,,0
4PEPTtex,1.914657075,,,0.883666165,-12.5,,0,,2.888213726,,,0,,0
ACALD,-116.7076824,,,,,,,-1000,,,-438.8549425,,-544.8444887,
ACALDt,-116.7076824,-1000,-531.0072969,-1000,-208.9157757,-1000,-134.6884245,-1000,-181.0762691,-1000,-1000,-483.4421852,-1000,-9.091398496
ACCOAC,0,0,0,0,0,0,1.67E-13,0,0,0,0,0,0,0
ACHBS,0,0,48.05152554,0,0,0,0,0,-1.11E-15,0,0,0,0,0
ACLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACONT,-1000,-1000,-942.2450632,52.75552911,-1000,-999.9900539,-1000,-1000,-1.51E-13,-999.8652497,-877.6961161,246.6676152,-1000,-100
ACONTa,-1000,-1000,,,-1000,-999.9900539,-1000,-1000,,-999.8652497,-877.6961161,,-1000,
ACONTb,-1000,-1000,,,-1000,-999.9900539,-1000,-1000,,-999.8652497,-877.6961161,,-1000,
ACt2r_1,-1000,-1000,,,-1000,,,,,,,,-1000,
ADK1,-742.4044357,-1000,,,,,,-1000,-197.3326455,-1000,,,,
ADK4,-986.8656056,-922.9675096,,-996.055491,,4.006739181,,-1000,,,,4.396744658,,
ADNK1,8.538106883,0,0,0.000883666,,,0,0,0,,,0,,
ADNt2,8.536192226,,,,,0,,,,,,,,
AGM3PApp,1.59E-18,,0,,0,0,0,0,,0,,,,
AGM4PApp,0,,,,0,0,,0,,0,0,,,
AGMDA,0,,0,,,0,,,,,,,0,
AGMT,0,0,,0,,0,,0,0,,,,,
AHCi,0.001914657,0.002745495,-71.54846155,0.000883666,,0.002255348,,-0.004865357,,0.001553318,0.004037819,-8.732500882,0.003032564,0.001497775
AICART,-8.38E-20,5.593149489,0,0,0,-3.10E-29,6.068505249,0,,0,0,0,0,
AKGDH,0,,0,54.78420571,0,0,0,0,,,0,237.504736,,
ALAALAr,1.914657075,,,,,,1.359797716,,1.444106863,1.553318051,4.037818538,,-198.1155952,-72.90044832
ALAALAtex,-2.116761998,2.745494813,4.372298055,0.883666165,3.045330102,2.25534839,,1.963597166,1.444106863,,,2.108750436,-22.22222222,0
ALAGLUE,2.72E-16,,0,,0,,,-8.09E-16,,0,0,,,
ALAR,1.914657075,,-1000,-0.981851294,-144.7729331,-300,,-200.7994324,,-996.8933639,-205.4902165,,-396.2311904,
ALAS,0,-12.81176458,0,,24.02091418,,-109.6228465,,,0,-75.06110641,,-100.0030326,
ALMPC,0,,,,,,,,,,0,,,
AMMQT8,0.001914657,,,,,,,0.001963597,,,,,,0.001497775
AMPTASECG,11.72373247,2.51432415,0,0,0,0,0,0,2.64502613,-1.64E-16,0,0,0,0
ANHGMtex,-4.233523996,,-24.19603197,,-13.33333333,-15.78947368,,-12.22082431,,,-23.40425532,,,
ANTDR,0.50098917,,,,,,,,,,,,,
APRAUR,0,,0,0.003941151,,0.010058854,0.006064698,,,0,0.018008671,0.009405027,0.013525234,
ARGDC,0,0,0,0,,,,,0,,,,0,
ARGN,0,,,,,,,,,,,,,
ARGN_1,-6.75E-16,,,,0,0,,,,,,0,,
ARGSL,0,8.120954018,12.93290786,0,9.007842816,0,0,0,8.543105144,0,0,,-8.43E-15,0
ARGSS,0,8.120954018,12.93290786,,9.007842816,0,0,0,8.543105144,0,0,,0,0
ARGt5r,-13.9408782,,,-997.3861862,,,,,,,-1000,,,
ASNt4,4.615376613,,,,,,,,,,,,,
ASPA2,0,,,,0,0,,,,,0,,0,
ASPTA,-37.31198741,-70.66224762,,-1000,-48.9927796,-1000,,,0,-1000,-127.4392127,-357.1663037,-1000,-992.6441218
ASPTA6,-16.92999961,,-70.97189351,-1000,,,,,,-1000,,-352.0830553,,
ATPHs,4.633498842,,0,,,,,0,,0,,,0,
ATPPRT,0,,0,0,0,0,0,3.06E-16,,0,0,0,0,
BSCT,-0.002127397,,-0.004858109,-0.000981851,-0.0033837,-0.002505943,-100.0013598,-0.002181775,-0.003209126,-0.001725909,-0.004480179,-0.002343056,-0.003369515,-0.001664194
BZt,0.001914657,,-999.9956277,-43.89487587,0.00304533,-616.4105689,0.001359798,0.001963597,0.002888214,,0.004037819,0.00210875,-1000,0.001497775
CA2abc,0.099657901,,,,,,0.070777471,,,,,,,0.077959169
